article_id,Economy and Business,Politics and Society,Technology and Culture,Sports and Leisure,Opinion and Analysis,created at
1,0.0,1.0,0.0,0.0,0.0,2023-01-01
2,0.0,1.0,0.0,0.0,0.0,2023-01-02
3,0.0,1.0,0.0,0.0,0.0,2023-01-03
4,0.0,0.0,1.0,0.0,0.0,2023-01-04
5,0.0,0.0,1.0,0.0,0.0,2023-01-05
6,0.0,1.0,0.0,0.0,0.0,2023-01-06
7,0.0,0.0,0.0,1.0,0.0,2023-01-07
8,1.0,0.0,0.0,0.0,0.0,2023-01-08
9,1.0,0.0,0.0,0.0,0.0,2023-01-09
10,0.0,0.0,0.0,1.0,0.0,2023-01-10
11,0.0,1.0,0.0,0.0,0.0,2023-01-11
12,0.0,0.0,1.0,0.0,0.0,2023-01-12
13,1.0,0.0,0.0,0.0,0.0,2023-01-13
14,0.0,0.0,0.0,0.0,1.0,2023-01-14
15,0.0,0.0,0.0,0.0,1.0,2023-01-15
16,0.0,0.0,0.0,1.0,0.0,2023-01-16
17,0.0,1.0,0.0,0.0,0.0,2023-01-17
18,1.0,0.0,0.0,0.0,0.0,2023-01-18
19,0.0,1.0,0.0,0.0,0.0,2023-01-19
20,1.0,0.0,0.0,0.0,0.0,2023-01-20
21,0.0,0.0,0.0,1.0,0.0,2023-01-21
22,0.0,0.0,0.0,1.0,0.0,2023-01-22
23,0.0,0.0,0.0,0.0,1.0,2023-01-23
24,0.0,1.0,0.0,0.0,0.0,2023-01-24
25,0.0,0.0,0.0,0.0,1.0,2023-01-25
26,0.0,1.0,0.0,0.0,0.0,2023-01-26
27,0.0,0.0,0.0,0.0,1.0,2023-01-27
28,0.0,0.0,1.0,0.0,0.0,2023-01-28
29,0.0,0.0,1.0,0.0,0.0,2023-01-29
30,0.0,0.0,1.0,0.0,0.0,2023-01-30
31,0.0,0.0,1.0,0.0,0.0,2023-01-31
32,1.0,0.0,0.0,0.0,0.0,2023-02-01
33,0.0,0.0,1.0,0.0,0.0,2023-02-02
34,0.0,0.0,0.0,1.0,0.0,2023-02-03
35,0.0,0.0,0.0,1.0,0.0,2023-02-04
36,1.0,0.0,0.0,0.0,0.0,2023-02-05
37,0.0,0.0,1.0,0.0,0.0,2023-02-06
38,0.0,0.0,1.0,0.0,0.0,2023-02-07
39,0.0,0.0,1.0,0.0,0.0,2023-02-08
40,0.0,0.0,0.0,0.0,1.0,2023-02-09
41,0.0,1.0,0.0,0.0,0.0,2023-02-10
42,0.0,0.0,0.0,0.0,1.0,2023-02-11
43,0.0,1.0,0.0,0.0,0.0,2023-02-12
44,0.0,0.0,1.0,0.0,0.0,2023-02-13
45,0.0,0.0,1.0,0.0,0.0,2023-02-14
46,0.0,0.0,0.0,0.0,1.0,2023-02-15
47,0.0,0.0,0.0,0.0,1.0,2023-02-16
48,0.0,1.0,0.0,0.0,0.0,2023-02-17
49,0.0,0.0,0.0,1.0,0.0,2023-02-18
50,0.0,1.0,0.0,0.0,0.0,2023-02-19
51,0.0,0.0,0.0,0.0,1.0,2023-02-20
52,0.0,0.0,0.0,0.0,1.0,2023-02-21
53,1.0,0.0,0.0,0.0,0.0,2023-02-22
54,0.0,0.0,0.0,0.0,1.0,2023-02-23
55,1.0,0.0,0.0,0.0,0.0,2023-02-24
56,0.0,0.0,0.0,1.0,0.0,2023-02-25
57,0.0,1.0,0.0,0.0,0.0,2023-02-26
58,0.0,1.0,0.0,0.0,0.0,2023-02-27
59,1.0,0.0,0.0,0.0,0.0,2023-02-28
60,0.0,1.0,0.0,0.0,0.0,2023-03-01
61,0.0,0.0,0.0,0.0,1.0,2023-03-02
62,0.0,0.0,1.0,0.0,0.0,2023-03-03
63,1.0,0.0,0.0,0.0,0.0,2023-03-04
64,0.0,1.0,0.0,0.0,0.0,2023-03-05
65,1.0,0.0,0.0,0.0,0.0,2023-03-06
66,1.0,0.0,0.0,0.0,0.0,2023-03-07
67,0.0,0.0,1.0,0.0,0.0,2023-03-08
68,0.0,0.0,0.0,0.0,1.0,2023-03-09
69,1.0,0.0,0.0,0.0,0.0,2023-03-10
70,0.0,1.0,0.0,0.0,0.0,2023-03-11
71,0.0,0.0,0.0,1.0,0.0,2023-03-12
72,1.0,0.0,0.0,0.0,0.0,2023-03-13
73,1.0,0.0,0.0,0.0,0.0,2023-03-14
74,0.0,0.0,1.0,0.0,0.0,2023-03-15
75,0.0,0.0,0.0,0.0,1.0,2023-03-16
76,0.0,0.0,0.0,1.0,0.0,2023-03-17
77,0.0,1.0,0.0,0.0,0.0,2023-03-18
78,0.0,0.0,0.0,1.0,0.0,2023-03-19
79,0.0,1.0,0.0,0.0,0.0,2023-03-20
80,0.0,0.0,0.0,0.0,1.0,2023-03-21
81,0.0,1.0,0.0,0.0,0.0,2023-03-22
82,0.0,0.0,1.0,0.0,0.0,2023-03-23
83,0.0,0.0,1.0,0.0,0.0,2023-03-24
84,0.0,0.0,1.0,0.0,0.0,2023-03-25
85,0.0,0.0,1.0,0.0,0.0,2023-03-26
86,0.0,0.0,0.0,1.0,0.0,2023-03-27
87,0.0,0.0,0.0,0.0,1.0,2023-03-28
88,0.0,1.0,0.0,0.0,0.0,2023-03-29
89,0.0,1.0,0.0,0.0,0.0,2023-03-30
90,0.0,0.0,1.0,0.0,0.0,2023-03-31
91,0.0,0.0,1.0,0.0,0.0,2023-04-01
92,1.0,0.0,0.0,0.0,0.0,2023-04-02
93,0.0,0.0,0.0,0.0,1.0,2023-04-03
94,0.0,0.0,0.0,1.0,0.0,2023-04-04
95,0.0,1.0,0.0,0.0,0.0,2023-04-05
96,1.0,0.0,0.0,0.0,0.0,2023-04-06
97,1.0,0.0,0.0,0.0,0.0,2023-04-07
98,0.0,1.0,0.0,0.0,0.0,2023-04-08
99,0.0,0.0,0.0,1.0,0.0,2023-04-09
100,1.0,0.0,0.0,0.0,0.0,2023-04-10
101,0.0,1.0,0.0,0.0,0.0,2023-04-11
